Work_Code,description,Count,Total_Hrs,Avg_Hrs,Min_Hrs,Max_Hrs,Std_Dev,source_tier,source_file,ingested_at
110,UNKNOWN,11,5.5,0.5,0.25,0.75,0.158,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
120,UNKNOWN,3,2.0,0.667,0.5,1.0,0.289,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
130,UNKNOWN,2,2.0,1.0,1.0,1.0,0.0,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
210,UNKNOWN,62,60.25,0.972,0.25,3.0,0.682,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
215,UNKNOWN,4705,9867.125,2.097,0.25,8.0,1.499,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
220,EXTRUSIONS,8476,14341.0,1.692,0.25,10.0,1.365,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
230,UNKNOWN,57,104.75,1.838,0.25,5.5,1.431,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
235,UNKNOWN,74,161.5,2.182,0.25,5.5,1.304,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
240,UNKNOWN,20,27.0,1.35,0.25,5.5,1.162,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
250,UNKNOWN,27,25.75,0.954,0.25,3.5,0.823,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
260,UNKNOWN,2909,3987.0,1.371,0.25,8.0,0.919,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
270,MISC FABRICATION,930,1267.0,1.362,0.25,8.0,1.205,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
280,CRATING & SHIPPING,4122,3241.0,0.786,0.25,5.75,0.563,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
282,UNKNOWN,4,3.0,0.75,0.25,1.5,0.612,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
310,BALLAST WIRING,2535,3924.5,1.548,0.25,7.75,1.039,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
315,UNKNOWN,2,4.0,2.0,1.75,2.25,0.354,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
320,UNKNOWN,11,11.0,1.0,0.25,3.0,0.742,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
330,UNKNOWN,2,2.75,1.375,0.5,2.25,1.237,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
340,ELECTRICAL WIRING,2422,3400.75,1.404,0.25,8.0,1.11,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
410,CLEAN AND ETCH,5272,3949.25,0.749,0.25,5.5,0.411,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
420,PRIME AND FINISH,5184,4269.5,0.824,0.25,5.0,0.444,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
430,UNKNOWN,7,5.5,0.786,0.25,1.75,0.668,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
510,UNKNOWN,2,0.5,0.25,0.25,0.25,0.0,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
520,UNKNOWN,2898,2034.5,0.702,0.25,6.5,0.517,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
550,UNKNOWN,3484,4500.0,1.292,0.25,8.25,0.815,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
610,UNKNOWN,7,5.5,0.786,0.25,1.25,0.366,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
615,UNKNOWN,16,35.25,2.203,0.5,5.25,1.566,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
620,UNKNOWN,7,19.75,2.821,0.75,5.75,1.754,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
621,UNKNOWN,1,0.75,0.75,0.75,0.75,,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
630,UNKNOWN,1,3.0,3.0,3.0,3.0,,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
710,UNKNOWN,6,4.75,0.792,0.25,1.75,0.534,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
720,UNKNOWN,2,1.5,0.75,0.5,1.0,0.354,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
810,UNKNOWN,2,5.5,2.75,2.5,3.0,0.354,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
815,UNKNOWN,1,2.5,2.5,2.5,2.5,,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
820,UNKNOWN,32,15.25,0.477,0.25,2.5,0.432,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
9100,UNKNOWN,4,3.0,0.75,0.25,2.0,0.842,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
9200,UNKNOWN,4370,4269.5,0.977,0.25,8.25,0.757,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
9300,UNKNOWN,917,961.25,1.048,0.25,5.0,0.702,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
9400,PAINT DEPT OVERTIME,1379,1000.25,0.725,0.25,4.0,0.479,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
9500,UNKNOWN,423,225.75,0.534,0.25,2.25,0.426,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
9600,UNKNOWN,32,27.0,0.844,0.25,2.5,0.515,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
9800,UNKNOWN,11,10.25,0.932,0.25,1.5,0.355,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\Labor_Multipliers.csv,2026-01-30T11:07:10.206448
