Code,Description,Account,Rate,S/U,"Jur
IA96,96 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA96S,96 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA97,97 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA97S,97 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA98,98 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA98S,98 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA99,99 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA99S,99 School,2140,1.0000,S,IA,County,,,,,1.0000
IAREMO,REMODEL SIGNIFICANT IA,2140,7.0000,U,IA,Local,,,,,7.0000
XX,IAUSE,DO NOT USE,2140,5.0000,U,IA,State,,,,IA77S,6.0000
XX,IAUSE6,6% Iowa Use Tax,2140,6.0000,U,IA,State,,,,,6.0000
IAUSTX,Iowa 7 % USE,2140,7.0000,S,IA,Local,,,,,7.0000
IC,INTERSTATE COMMERCE,2140,0.0000,S,IA,,,,,,0.0000
IL,ILLINOIS SALES,2140,6.2500,S,IL,State,,,,,6.2500
ILLASA,La Salle IL Sales Tax,2140,7.5000,S,IL,Local,,,,,7.5000
XX,ILNORM,DO NOT USE,2140,1.2500,S,IL,,,,,IL,7.5000
ILRESA,IL RESALE,2140,0.0000,S,IL,Local,,,,,0.0000
ILROCU,Rochelle IL Use tax Warranty,2140,7.0000,U,IL,Local,,,,,7.0000
XX,ILSCHA,DO NOT USE,2140,2.5000,S,IL,,,,,IL,8.7500
ILUSE,IL use tax,2140,6.2500,U,IL,State,,,,,6.2500
XX,KS,DO NOT USE OLD RATE,2140,5.3000,S,KS,State,,,,,5.3000
KSAUGU,Augusta KS,2140,0.2250,S,KS,Local,,,,KSSAL,6.7250
KSBUTL,Butler County KS,2140,0.2500,S,KS,County,,,,,0.2500
KSCITY,Kansas City Kansas,2140,1.6250,S,KS,Local,,,,KSSAL. KSWYAN,9.1250
KSCOLB,Colby Kansas,2140,0.7500,S,KS,Local,,,,KSTHOM. KSSAL,9.0000
KSEDGE,EDGERTON KS,2140,8.9750,S,KS,Local,,,,,8.9750
KSELDO,El Dorado KS,2140,1.0000,S,KS,Local,,,,KSSAL,7.5000
KSFTRI,Fort Riley Kansas,2140,1.0000,S,,,,,,KSSAL,7.5000
KSGARD,GARDNER KANSAS,2140,1.5000,S,KS,Local,,,,KSJOHN. KSSAL,9.4750
KSGREE,Greenwood County KS,2140,7.5000,S,KS,County,,,,,7.5000
KSJOHN,Johnston County KS,2140,1.4750,S,KS,County,,,,,1.4750
KSLENS,Lenexa KS,2140,9.3500,S,KS,Local,,,,,9.3500
KSLIBS,Liberal KS Sales,2140,9.2500,S,KS,Local,,,,,9.2500
KSMADS,Madison KS,2140,7.5000,S,KS,Local,,,,,7.5000
KSOLAT,OLATHE KS SALES TAX,2140,1.5000,S,KS,Local,,,,KSJOHN. KSSAL,9.4750
KSOVER,Overland Park KS,2140,1.1250,S,KS,Local,,,,KSJOHN. KSSAL,9.1000
KSPRAI,Prairie Village Sales Tax,2140,1.0000,S,KS,Local,,,,KSJOHN. KSSAL,8.9750
KSSAL,KANSAS SALES TAX,2140,6.5000,S,KS,State,,,,,6.5000
KSSALI,Salina KS Sales Tax,2140,9.2500,S,KS,Local,,,,,9.2500
KSSALU,SALINA KS USE TAX,2140,8.0500,U,KS,Local,,,,,8.0500
KSSHAW,SHAWNEE KANSAS,2140,1.2500,S,KS,Local,,,,KSJOHN. KSSAL,9.2250
KSTHOM,Thomas County,2140,1.7500,S,KS,Local,,,,,1.7500
KSTOPE,Topeka Kansas,2140,2.6500,S,KS,Local,,,,KSSAL,9.1500
KSWICH,Wichita Kansas Sales Tax,2140,1.0000,S,KS,Local,,,,KSSAL,7.5000
KSWYAN,Wyandotte Kansas,2140,1.0000,S,KS,County,,,,,1.0000
XX,MN,DO NOT USE OLD RATE,2140,6.5000,S,MN,State,,,,,6.5000
MNBAX,Baxter Sales Tax,2140,0.5000,S,,,,,,MNSLS,7.3750
MNBEMI,BEMIDJI MINNESOTA,2140,0.5000,S,MN,County,,,,MNSLS,7.3750
MNBLS,Blaine MN Sales Tax,2140,8.1250,S,MN,Local,,,,,8.1250
MNDAK,Dakota MN Tax,2140,0.0000,S,,,,,,MNSLS. MNTRAN,7.1250
MNDUL,Duluth City Tax,2140,1.0000,S,MN,Local,,,,MNSLS,7.8750
MNHEN,Hennepin County Tax,2140,0.1500,S,MN,County,,,,MNSLS. MNTRAN,7.2750
MNHENU,Hennepin Use Tax,2140,0.1500,U,MN,County,,,,MNUSE. MNTRUS,7.2750
MNINVS,INVER GROVE HEIGHTS SLS TAX,2140,8.1250,S,MN,Local,,,,,8.1250
MNMANK,Mankato Sales Tax,2140,1.0000,S,MN,Local,,,,MNSLS,7.8750
MNMANU,Mankato MN Use Tax,2140,0.5000,U,,,,,,MNUSE,7.3750
MNMNU,Minneapolis MN Use,2140,0.5000,U,,,,,,MNTRUS. MNHENU. MNUSE,7.7750
MNRAMS,Ramsey County Transit,2140,0.5000,S,MN,Local,,,,MNSLS,7.3750
MNROC,Rochester City Tax,2140,0.5000,S,MN,Local,,,,MNSLS,7.3750
MNSLS,Minnesota Sales Tax 7.1.09,2140,6.8750,S,MN,State,,,,,6.8750
MNSTEU,Steele CO Use tax,2140,7.3750,S,MN,Local,,,,,7.3750
MNSTPS,St Paul MN Sales Tax,2140,8.8750,S,MN,Local,,,,,8.8750
MNTRAN,MN Transit Improvement Tax,2140,0.2500,S,MN,,,,,MNSLS,7.1250
MNTRUS,MN Transit Use Tax,2140,0.2500,U,MN,,,,,MNUSE,7.1250
MNUSE,Minnesota Use Tax,2140,6.8750,U,MN,State,,,,,6.8750
MO,MISSOURI USE TAX,2140,5.6000,U,MO,State,,,,,5.6000
MOBETH,Bethany MO use tax,2140,5.4750,U,MO,Local,,,,,5.4750
MOBLUE,"Blue Springs, MO",2140,4.2250,U,MO,Local,,,,,4.2250
MOCAM,CAMPBELL MO,2140,8.2875,S,MO,Local,,,,,8.2875
MOCAME,Cameron MO Use Tax,2140,6.7250,U,MO,Local,,,,,6.7250
MOCAMS,Cameron MO Vendor Tax,2140,6.7250,S,MO,Local,,,,,6.7250
MOCHAR,Charleston MO Use,2140,4.2250,U,MO,Local,,,,,4.2250
MOGRAI,Grain Valley MO,2140,4.2250,U,MO,,,,,,4.2250
MOGREE,Greene County MO,2140,0.7500,U,MO,County,,,,MO,6.3500
MOHARR,Harrison County MO,2140,5.4750,U,,,,,,,5.4750
MOINDE,Independence MO,2140,5.1000,U,MO,Local,,,,,5.1000
MOJAME,Jamesport MO,2140,5.7250,U,MO,Local,,,,,5.7250
MOJEFF,Jefferson City Use,2140,5.7250,U,MO,Local,,,,,5.7250
MOJOP,Joplin Missouri Use Tax,2140,4.2250,U,MO,County,,,,,4.2250
MOJOPS,Joplin MO Tax,2140,8.9250,S,MO,Local,,,,,8.9250
MOKCS,Kansas City MO Sales,2140,8.6000,S,MO,Local,,,,,8.6000
MOKSCU,Kansas City MO Use,2140,8.4750,U,MO,,,,,,8.4750
MOLEE,Lee's Summit MO,2140,4.2250,U,MO,Local,,,,,4.2250
MOLIBE,LIBERTY MO,2140,5.1000,U,MO,Local,,,,,5.1000
MOMERC,Mercier County MO,2140,0.8750,U,MO,Local,,,,MO,6.4750
MONEVS,NEVADA MO SALES TAX,2140,8.2250,S,MO,Local,,,,,8.2250
MOPRIN,Princeton MO,2140,8.4750,U,MO,Local,,,,,8.4750
MOROLL,Rolla MO,2140,7.6000,S,MO,Local,,,,,7.6000
MOSTJO,St Joseph MO Sales Tax,2140,9.7100,S,MO,Local,,,,,9.7100
MOSTL,St Louis MO,2140,9.0130,U,MO,Local,,,,,9.0130
MOSTLO,ST Louis County MO,2140,0.1250,U,MO,County,,,,MO,5.7250
MOSTLS,ST. Louis MO Sales Tax,2140,9.6790,S,MO,Local,,,,,9.6790
MOTREN,TENTON MO COUNTY,2140,4.2250,U,MO,,,,,,4.2250
MOUNIO,UNIONVILLE-PUTNUM,2140,9.1000,U,MO,Local,,,,,9.1000
MOUNIS,UNIONVILLE-PUTNUM Sales,2140,8.1000,S,MO,Local,,,,,8.1000
MOVILL,Villa Ridge,2140,4.2250,U,MO,Local,,,,,4.2250
MOVILS,Villa Ridge MO Sales,2140,6.9750,S,MO,Local,,,,,6.9750
MOWARR,Warren county MO,2140,5.7250,U,MO,County,,,,,5.7250
MOWARS,Warrensburg MO,2140,8.8500,S,MO,Local,,,,,8.8500
MOWASH,Washinton MO Sales tax,2140,8.8500,S,MO,Local,,,,,8.8500
MOWILL,Willow Springs MO,2140,8.6600,S,MO,Local,,,,,8.6600
MT,Montana Sales/Use Tax 0%,2140,0.0000,U,MT,Local,,,,,0.0000
ND,NORTH DAKOTA SALES,2140,5.0000,S,ND,State,,,,,5.0000
NDALEX,Alexander North Dakota Sales,2140,2.0000,S,ND,Local,,,,ND,7.0000
NDBEAC,BEACH ND SALES TAX,2140,1.0000,S,ND,Local,,,,ND,6.0000
NDBISM,Bismark ND sales,2140,8.0000,S,ND,Local,,,,,8.0000
NDCASS,Cass County ND,2140,0.5000,S,ND,County,,,,,0.5000
NDFARG,Fargo ND Sales Tax,2140,2.0000,S,,Local,,,,ND. NDCASS,7.5000
NDGFOR,Grand Forks ND,2140,1.7500,U,ND,Local,,,,NEUSE,7.2500
NDGRAS,Grand Forks ND Sales,2140,2.2500,S,ND,Local,,,,ND,7.2500
NDJAME,North Dakota,2140,2.0000,U,ND,Local,,,,NDUSE,7.0000
NDJAMS,Jamestown North Dakota,2140,2.0000,S,ND,Local,,,,ND,7.0000
NDMINO,MINOT ND Sales,2140,2.0000,S,ND,Local,,,,ND. NDWARD,7.5000
NDUSE,North Dakota Use tax,2140,5.0000,U,ND,State,,,,,5.0000
NDWARD,Ward County ND,2140,0.5000,S,ND,Local,,,,,0.5000
NDWATS,Watford City ND Sales,2140,1.5000,S,ND,Local,,,,ND,6.5000
NDWFAR,West Fargo ND USE,2140,1.0000,U,,,,,,,1.0000
NDWFS,WEST FARGO ND SALES,2140,2.0000,S,ND,Local,,,,ND. NDCASS,7.5000
NDWILI,Williston North Dakota,2140,1.0000,S,ND,Local,,,,ND. NDWILL,7.0000
NDWILL,Williams county,2140,1.0000,S,ND,County,,,,,1.0000
NE,NEBRASKA,2140,5.5000,S,NE,State,,,,,5.5000
NEBELL,Bellevue NE use tax,2140,7.0000,U,NE,Local,,,,,7.0000
NEBELV,1.5% CITY BELLEVUE 3-046,2140,1.5000,S,,,,,,NE,7.0000
NECENT,Central City NE,2140,1.0000,S,NE,Local,,,,NE,6.5000
NECITY,Nebraska City Nebraska,2140,1.5000,S,NE,Local,,,,NE,7.0000
NECRET,Crete Nebraska Sales Tax,2140,1.0000,S,NE,Local,,,,NE,6.5000
NECTYU,Nebraska City Use,2140,1.5000,U,NE,Local,,,,NEUSE,7.0000
NEDOUS,Douglas NE Use tax,2140,1.5000,U,,,,,,NEUSE,7.0000
NEGRAN,Grant NE Sales Tax,2140,6.5000,S,NE,Local,,,,,6.5000
NEKEAR,Kearney NE,2140,7.0000,S,NE,Local,,,,,7.0000
NELAVS,La Vista NE Sales,2140,7.5000,S,NE,Local,,,,,7.5000
NELIN,Lincoln City Tax 2-285,2140,1.5000,S,NE,Local,,,,NE,7.0000
NELINU,Lincoln NE Use,2140,1.5000,U,NE,Local,,,,NEUSE,7.0000
NEMCCO,1.5% City McCook 103-312,2140,1.5000,S,NE,Local,,,,NE,7.0000
NENORS,North Platte NE Sales Tax,2140,1.5000,S,NE,Local,,,,NE,7.0000
NEOMA,Omaha City Tax 1-365,2140,1.5000,S,NE,Local,,,,NE,7.0000
NEOMU,Omaha Use Tax,2140,1.5000,U,NE,Local,,,,NEUSE,7.0000
NEONEI,ONEIL NE,2140,1.5000,S,NE,Local,,,,NE,7.0000
NEPAPS,Papillion NE Sales Tax,2140,1.5000,S,,,,,,NE,7.0000
NESCHU,Schuyler NE Use tax,2140,7.0000,U,NE,Local,,,,,7.0000
NEUSE,Nebraska Use Tax,2140,5.5000,U,NE,State,,,,,5.5000
XX,NEWC,NEW CONSTRUCTION,2140,0.0000,U,IA,,,,,IAUSE6,6.0000
NEWCIA,NEW CONSTRUCTION IA 2020,2140,7.0000,U,IA,Local,,,,,7.0000
OK,Oklahoma Sales tax,2140,4.5000,S,OK,State,,,,,4.5000
OKBECK,BECKHAM COUNTY,2140,0.2500,S,OK,County,,,,,0.2500
OKBIGC,BIG CABIN SALES OK,2140,9.0000,S,OK,Local,,,,,9.0000
OKBIGU,Big Cabin OK Warranty,2140,9.0000,U,OK,Local,,,,,9.0000
OKCADD,Caddo County Sales tax,2140,1.5000,S,OK,Local,,,,,1.5000
OKCHEC,Checotah OK Sales Tax,2140,10.5000,S,OK,Local,,,,,10.5000
OKCOK,OKLAHOMA CITY,2140,4.1250,S,OK,Local,,,,OK,8.6250
OKDUNC,Duncan OK Sales Tax,2140,8.7000,S,OK,Local,,,,,8.7000
OKDURA,OK DURANT,2140,4.8750,S,OK,Local,,,,OK,9.3750
OKEDMS,Edmond Sales Tax,2140,3.7500,S,OK,Local,,,,OK,8.2500
OKGUYM,Guymon Oklahoma,2140,4.0000,S,OK,Local,,,,OK. OKTEXA,9.5000
OKHINT,Hinton Oklahoma,2140,3.0000,S,OK,Local,,,,OK. OKCADD,9.0000
OKKAW,Kaw County,2140,4.5000,S,OK,County,,,,,4.5000
OKMUSK,MUSKOGEE OK,2140,5.4990,S,OK,Local,,,,OK,9.9990
OKNEWK,New Kirk Oklahoma,2140,3.0000,S,OK,Local,,,,OK. OKKAW,12.0000
OKSAYR,SAYRE SALES TAX,2140,4.0000,S,OK,Local,,,,OK. OKBECK,8.7500
OKSTRI,Stringtown Ok sales tax,2140,9.2500,S,OK,Local,,,,,9.2500
OKTEXA,Texas County,2140,1.0000,S,OK,County,,,,,1.0000
OKTONK,Tonkawa Oklahoma Sales Tax,2140,10.2500,S,OK,Local,,,,,10.2500
OKTULC,Tulsa County OK,2140,0.8500,S,OK,County,,,,,0.8500
OKTULS,Tulsa Oklahoma City Tax,2140,3.1670,S,OK,Local,,,,OKTULC. OK,8.5170
OKWOOC,Woodward County,2140,0.9000,S,OK,County,,,,,0.9000
OKWOOD,Woodward,2140,4.0000,S,OK,Local,,,,OK. OKWOOC,9.4000
XX,OPT50,OPTION TAX .50 %,2140,0.5000,S,IA,County,,,,,0.5000
OPTION,1% LOCAL OPTION TAX,2140,1.0000,S,IA,County,,,,,1.0000
OPTUSE,1% LOCAL OPTION USE TAX,2140,1.0000,U,IA,County,,,,,1.0000
RESALE,RESALE,2140,0.0000,S,IA,,,,,,0.0000
XX,SCH50,SCHOOL TAX .50%,2140,0.5000,S,IA,County,,,,,0.5000
XX,SCHOOL,1% LOCAL SCHOOL TAX,2140,1.0000,S,IA,County,,,,,1.0000
XX,SCHUSE,1% LOCAL SCHOOL USE TAX,2140,1.0000,U,IA,County,,,,,1.0000
SD,SOUTH DAKOTA EXCISE TAX,2140,2.0000,S,SD,,,,,,2.0000
SD2432,SOUTH DAKOTA TAX,2140,6.0000,U,SD,State,,,,,6.0000
SDHOT,HOT SPRINGS SOUTH DAKOTA,2140,6.0000,U,SD,County,,,,SD,8.0000
SDMUR,Murdo SD,2140,2.0000,U,SD,Local,,,,SDTAXU,6.5000
SDRAPI,Rapid City SD,2140,2.0000,U,SD,Local,,,,SDTAXU,6.5000
SDSFSL,SD SIOUX FALLS,2140,6.2000,S,SD,County,,,,,6.2000
SDTAXU,South Dakota Use tax,2140,4.5000,U,SD,State,,,,,4.5000
SDTRIP,TRIPP SD USE TAX,2140,2.0000,U,SD,County,,,,SDTAXU. SD,8.5000
SDWATE,Watertown Sales Tax,2140,6.2000,S,SD,Local,,,,,6.2000
TXABIL,Abilene Texas Sales Tax,2140,8.2500,S,TX,Local,,,,,8.2500
TXAMAR,"Amarillo, Texas",2140,2.0000,S,TX,Local,,,,TXSALE,8.2500
TXAMWA,Amarillo TX warranty use tax,2140,8.2500,U,TX,Local,,,,,8.2500
TXANGC,Angelina County TX,2140,0.5000,S,TX,Local,,,,,0.5000
TXBAYT,BAYTOWN TEXAS SALES TAX,2140,2.0000,S,TX,Local,,,,TXSALE,8.2500
TXBEAU,Beaumont TX,2140,1.5000,S,TX,Local,,,,TXSALE. TXJEFF,8.2500
TXCONV,CONVERSE TEXAS,2140,8.2500,S,TX,Local,,,,,8.2500
TXCORP,CORPUS CHRISTI TEXAS,2140,8.2500,S,TX,Local,,,,,8.2500
TXCORS,CORSICANA TX,2140,2.0000,S,TX,Local,,,,TXSALE,8.2500
TXDALL,DALLAS TX,2140,2.0000,S,TX,Local,,,,TXSALE,8.2500
TXDUNC,Duncinville TX,2140,8.2500,S,TX,Local,,,,,8.2500
TXEDNA,Edna TX Tax,2140,8.2500,S,TX,Local,,,,,8.2500
TXELPA,EL PASO TX,2140,8.2500,S,TX,Local,,,,,8.2500
TXELPU,EL PASO TX USE TAX WARRANTY,2140,8.2500,U,TX,Local,,,,,8.2500
TXFLIN,Flint Texas Sales Tax,2140,8.2500,S,TX,Local,,,,,8.2500
TXFTWO,FORT WORTH TX,2140,8.2500,S,TX,Local,,,,,8.2500
TXGARL,Garland TX Sales,2140,8.2500,S,TX,Local,,,,,8.2500
TXHARL,Harlingen TX,2140,2.0000,S,TX,Local,,,,TXSALE,8.2500
TXHASL,Haslet Texas,2140,8.2500,S,TX,Local,,,,,8.2500
TXHILL,HILLSBOROUGH TX,2140,8.2500,S,TX,Local,,,,,8.2500
TXHOUS,Houston TX and Houston MTA,2140,2.0000,S,TX,Local,,,,TXSALE,8.2500
TXHUMB,Humble TX sales tax,2140,2.0000,S,TX,Local,,,,TXSALE,8.2500
TXHUTC,Hutchins TX sales tax,2140,8.2500,S,TX,Local,,,,,8.2500
TXJEFF,Jefferson Cty TX,2140,0.5000,S,TX,County,,,,,0.5000
TXKERC,Kerr county,2140,0.5000,S,TX,County,,,,,0.5000
TXKERV,Kerrville Sales tax,2140,1.5000,S,TX,Local,,,,TXSALE. TXKERC,8.2500
TXLAMS,Lamar County TX,2140,0.5000,S,TX,County,,,,,0.5000
TXLARE,Laredo Texas,2140,8.2500,S,TX,Local,,,,,8.2500
TXLUBB,LUBBOCK,2140,8.2500,S,TX,Local,,,,,8.2500
TXLUFK,Lufkin TX sales Tax,2140,1.5000,S,TX,Local,,,,TXSALE. TXANGC,8.2500
TXMESQ,Mesquite TX,2140,8.2500,S,TX,Local,,,,,8.2500
TXMESU,Mesquite TX use tax,2140,8.2500,U,TX,Local,,,,,8.2500
TXMIDL,Midland Texas updated 043025,2140,7.5000,S,TX,Local,,,,,7.5000
TXMINW,Mineral Wells Texas,2140,8.2500,S,TX,Local,,,,,8.2500
TXNEWB,NEW BRAUNFELS,2140,2.0000,S,TX,Local,,,,TXSALE,8.2500
TXORLA,ORLA TX,2140,8.2500,S,TX,Local,,,,,8.2500
TXPARK,Parker County Texas,2140,0.5000,S,TX,Local,,,,,0.5000
TXPARS,Paris Texas City Tax,2140,1.5000,S,TX,Local,,,,TXSALE. TXLAMS,8.2500
TXPHAR,Pharr texas sales,2140,2.0000,S,TX,Local,,,,TXSALE,8.2500
TXROSH,Rosharon TX Sales,2140,6.7500,S,TX,Local,,,,,6.7500
TXSALE,Texas State Tax,2140,6.2500,S,TX,State,,,,,6.2500
TXSANS,San Antonio TX,2140,2.0000,S,TX,Local,,,,TXSALE,8.2500
TXSANU,San Angelo TX use tax,2140,8.2500,U,TX,Local,,,,,8.2500
TXSINT,Sinton TX Sales Tax,2140,8.2500,S,TX,Local,,,,,8.2500
TXSONO,Sonora Texas Sales Tax,2140,8.2500,S,TX,Local,,,,,8.2500
TXSOUT,SOUTHLAKE TX,2140,8.2500,S,TX,Local,,,,,8.2500
TXSTAF,Stafford TX Sales,2140,8.2500,S,TX,Local,,,,,8.2500
TXSTRA,Stratford Texas,2140,7.7500,S,TX,Local,,,,,7.7500
TXTERR,Terrell TX,2140,2.0000,S,TX,Local,,,,TXSALE,8.2500
TXTEXS,TEXARKANA TEXAS,2140,8.2500,S,TX,Local,,,,,8.2500
TXTYLE,TYLER TEXAS,2140,8.2500,S,TX,Local,,,,,8.2500
TXVAN,Van Texas,2140,2.0000,S,TX,Local,,,,TXSALE,8.2500
TXVICT,Victoria Texas,2140,2.0000,S,TX,Local,,,,TXSALE,8.2500
TXWEAT,WEATHERFORD TX,2140,1.5000,S,TX,Local,,,,TXSALE. TXPARK,8.2500
TXWICF,WICHITA FALLS TX SALES,2140,2.0000,S,TX,Local,,,,TXSALE,8.2500
TXWINN,WINNIE TEXAS,2140,8.1250,S,TX,Local,,,,,8.1250
WARRA,Warranty Iowa Sales Tax NEW,2140,0.0000,S,IA,Local,,,,IAUSTX,7.0000
WARRAN,Warranty IA work old,2140,0.0000,U,IA,Local,,,,IAUSE6,6.0000
WI,WI SALES TAX,2140,5.0000,S,WI,State,,,,,5.0000
WI32,LaCrosse Sales Tax,2140,0.5000,S,WI,Local,,,,WI,5.5000
WI40,Milwaukee County Tax,2140,0.6000,S,WI,County,,,,WI,5.6000
WI41,Monroe county Wisconsin,2140,0.5000,S,WI,County,,,,WI,5.5000
WI53,Wisconsin Rock County,2140,0.5000,S,WI,County,,,,WI,5.5000
WI61,Trempealeau County Tax,2140,0.5000,S,WI,County,,,,WI,5.5000
WIBARR,Barron WI,2140,0.5000,S,WI,County,,,,WI,5.5000
WICHIP,Chippewa Falls Wisconsin,2140,0.5000,S,WI,County,,,,WI,5.5000
WIDANE,DANE COUNTY WI,2140,0.5000,S,WI,County,,,,WI,5.5000
WIDODG,DODGE WI,2140,0.5000,S,WI,Local,,,,WI,5.5000
WIDUN,Dunn County WI,2140,5.5000,S,WI,Local,,,,,5.5000
WIEAU,Eau Claire Wisconsin,2140,0.5000,S,WI,County,,,,WI,5.5000
WIFOND,FOND DU LAC COUNTY,2140,5.5000,S,WI,Local,,,,,5.5000
WIGREE,Green Bay WI,2140,5.5000,S,WI,Local,,,,,5.5000
WIJAC,Jackson Coutny Wisconsin,2140,0.5000,S,WI,County,,,,WI,5.5000
WIKEN,Kenosha Wisconsin,2140,0.5000,S,WI,County,,,,WI,5.5000
WILACU,Lacrosse Wi Use Tax,2140,0.5000,U,WI,County,,,,WIUSE,5.5000
WIOSS,Osceola Wi sales tax,2140,5.5000,S,WI,Local,,,,,5.5000
WIOZA,OZAUKEE WI SALES TAX,2140,0.6000,S,WI,County,,,,WI,5.6000
WISTC,St Croix County,2140,0.5000,S,WI,County,,,,WI,5.5000
WIUSE,Wisconsin Use tax,2140,5.0000,U,WI,State,,,,,5.0000
WIWAUK,Waukesha County WI,2140,0.1000,S,WI,County,,,,WI,5.1000
WIWESS,Weston WI Sales Tax,2140,5.5000,S,WI,Local,,,,,5.5000
WIWMIL,West Milwaukee WI Sales,2140,5.9000,S,WI,Local,,,,,5.9000
WIWOOD,Wood Wisconsin,2140,0.5000,S,WI,County,,,,WI,5.5000
WY,WYOMING CONTRACTOR USE TAX,2140,4.0000,U,WY,State,,,,,4.0000
WYCARB,Carbon County WY,2140,2.0000,U,WY,Local,,,,WY,6.0000
WYEVAN,Evanston WY,2140,5.0000,S,WY,Local,,,,,5.0000
WYLAR,Laramie County Wyoming,2140,2.0000,U,WY,County,,,,WY,6.0000
WYLARS,Laramie CTY WY Tax,2140,6.0000,S,WY,Local,,,,,6.0000
WYNAT,Natrona WY,2140,1.0000,U,WY,County,,,,WY,5.0000
WYSHER,Sheridan County Wyoming,2140,2.0000,U,WY,County,,,,WY,6.0000
WYUINT,Uinta County,2140,1.0000,U,WY,Local,,,,WY,5.0000
